expenditure ID,TIF DISTRICT,AREA,DISTRICT EXPIRATION,PROJECT / EXPENDITURE,YEAR,STATUS,AMOUNT,BALANCE,REF
1003,Harlem Industrial Park Conservation Area,Southwest Side,2030-03-14,Estimated Incremental Property Tax Revenue ,2011,Committed,244000,-119439,T-148
1004,Harlem Industrial Park Conservation Area,Southwest Side,2030-03-14,Administration Costs ,2011,Committed,0,-119439,T-148
1005,Harrison/Central,West Side,2030-12-31,FY Beginning Cash Balance ,2009,Appropriated,1305312,1305312,T-144
1006,Harrison/Central,West Side,2030-12-31,Closing payment to Loretto Hospital  -- 2009 ,2009,Appropriated,-500000,805312,T-144
1007,Harrison/Central,West Side,2030-12-31,Port from Madison/Austin for 2009 Loretto Hospital room payment ,2009,Committed,375000,1180312,T-144
1008,Harrison/Central,West Side,2030-12-31,Port from Roosevelt/Cicero for 2009 Loretto Hospital room payment ,2009,Committed,375000,1555312,T-144
1009,Harrison/Central,West Side,2030-12-31,Administrative Costs ,2009,Committed,0,1555312,T-144
1010,Harrison/Central,West Side,2030-12-31,NIF Note Payment 2009 ,2009,Committed,-96000,1459312,T-144
1011,Harrison/Central,West Side,2030-12-31,"Lighting: W. Congress St., VanBuren to Adams, Laramie to Lotus ",2009,Committed,-585000,874312,T-144
1012,Harrison/Central,West Side,2030-12-31,Neighborhood Imprv. Prgm. ,2009,Committed,-750000,124312,T-144
1013,Harrison/Central,West Side,2030-12-31,2009 Room Payment to Loretto Hospital ,2009,Committed,-800000,-675688,T-144
1014,Harrison/Central,West Side,2030-12-31,Port from Madison/Austin for 2010 Loretto Hospital room payment ,2010,Committed,375000,-300688,T-144
1015,Harrison/Central,West Side,2030-12-31,Port from Roosevelt/Cicero for 2010 Loretto Hospital room payment ,2010,Committed,375000,74312,T-144
1016,Harrison/Central,West Side,2030-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,228000,302312,T-144
1017,Harrison/Central,West Side,2030-12-31,Administrative Costs ,2010,Committed,0,302312,T-144
1018,Harrison/Central,West Side,2030-12-31,NIF Note Payment 2010 ,2010,Committed,-194700,107612,T-144
1019,Harrison/Central,West Side,2030-12-31,2010 Room Payment to Loretto Hospital ,2010,Committed,-800000,-692388,T-144
1020,Harrison/Central,West Side,2030-12-31,Port from Roosevelt/Cicero for 2011 Loretto Hospital room payment ,2011,Committed,375000,-317388,T-144
1021,Harrison/Central,West Side,2030-12-31,Port from Madison/Austin for 2011 Loretto Hospital room payment ,2011,Committed,375000,57612,T-144
1022,Harrison/Central,West Side,2030-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,228000,285612,T-144
1023,Harrison/Central,West Side,2030-12-31,NIF Note Payment 2011 ,2011,Committed,-194800,90812,T-144
1024,Harrison/Central,West Side,2030-12-31,2011 Room Payment to Loretto Hospital ,2011,Committed,-800000,-709188,T-144
1025,Hollywood/Sheridan,North Side,2031-12-31,Port from Lawrence/Broadway for Hollywood House payment ,2009,Appropriated,1000000,1000000,T-157
1026,Hollywood/Sheridan,North Side,2031-12-31,Port from Bryn/Mawr Broadway for SBIF ,2009,Appropriated,250000,1250000,T-157
1027,Hollywood/Sheridan,North Side,2031-12-31,FY Beginning Cash Balance ,2009,Appropriated,167478,1417478,T-157
1028,Hollywood/Sheridan,North Side,2031-12-31,"SBIF (400k auth., 150K auth. remaining) ",2009,Appropriated,-250000,1167478,T-157
1029,Hollywood/Sheridan,North Side,2031-12-31,Hollywood House cash payment ,2009,Appropriated,-1000000,167478,T-157
1030,Hollywood/Sheridan,North Side,2031-12-31,Port from Bryn Mawr / Broadway  -- Edgewater library acquistion ,2009,Committed,1125000,1292478,T-157
1031,Hollywood/Sheridan,North Side,2031-12-31,Administration ,2009,Committed,0,1292478,T-157
1032,Hollywood/Sheridan,North Side,2031-12-31,"Streetscaping- Granville, Broadway to Sheridan; design ",2009,Pending,-225000,1067478,T-157
1033,Hollywood/Sheridan,North Side,2031-12-31,Potential Redevelopment Project ,2009,Pending,-1125000,-57522,T-157
1034,Hollywood/Sheridan,North Side,2031-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,167400,109878,T-157
1035,Hollywood/Sheridan,North Side,2031-12-31,Administration ,2010,Committed,0,109878,T-157
1036,Hollywood/Sheridan,North Side,2031-12-31,"Streetscaping- Granville, Broadway to Sheridan; construction ",2010,Pending,-1875000,-1765122,T-157
1037,Hollywood/Sheridan,North Side,2031-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,167400,-1597722,T-157
1038,Hollywood/Sheridan,North Side,2031-12-31,Administration ,2011,Committed,0,-1597722,T-157
1039,Homan Arthington,Northwest Side,2021-02-05,FY Beginning Cash Balance ,2009,Appropriated,3493999,3493999,T- 24
1040,Homan Arthington,Northwest Side,2021-02-05,Professional Services Account Increase ,2009,Appropriated,-50000,3443999,T- 24
1041,Homan Arthington,Northwest Side,2021-02-05,"Street resurfacing: Arthington, Kedzie to Spaulding ",2009,Appropriated,-102622,3341376,T- 24
1042,Homan Arthington,Northwest Side,2021-02-05,Street Resurfacing & ADA ramps ,2009,Appropriated,-395905,2945471,T- 24
1043,Homan Arthington,Northwest Side,2021-02-05,Homan Square Police Forensics Lab Improvements  -- 2240 W. Filmore St. ,2009,Appropriated,-1500000,1445471,T- 24
1044,Homan Arthington,Northwest Side,2021-02-05,Port to Midwest for street resurfacing ,2009,Committed,-1000000,445471,T- 24
1045,Homan Arthington,Northwest Side,2021-02-05,Disposition Services ,2009,Pending,-200000,245471,T- 24
1046,Homan Arthington,Northwest Side,2021-02-05,Estimated Incremental Property Tax Revenue ,2010,Committed,489809,735280,T- 24
1047,Homan Arthington,Northwest Side,2021-02-05,Administrative Costs ,2010,Committed,-10400,724880,T- 24
1048,Homan Arthington,Northwest Side,2021-02-05,Estimated Incremental Property Tax Revenue ,2011,Committed,489809,1214689,T- 24
1049,Homan Arthington,Northwest Side,2021-02-05,Administrative Costs ,2011,Committed,-10400,1204289,T- 24
1050,Homan/Grand Trunk,South Side,2016-12-15,FY Beginning Cash Balance ,2009,Appropriated,2006029,2006029,T- 25
1051,Homan/Grand Trunk,South Side,2016-12-15,Portability Amendment ,2009,Committed,-50000,1956029,T- 25
1052,Homan/Grand Trunk,South Side,2016-12-15,Estimated Incremental Property Tax Revenue ,2010,Committed,184476,2140505,T- 25
1053,Homan/Grand Trunk,South Side,2016-12-15,Administrative Costs ,2010,Committed,-3500,2137005,T- 25
1054,Homan/Grand Trunk,South Side,2016-12-15,Estimated Incremental Property Tax Revenue ,2011,Committed,184476,2321481,T- 25
1055,Homan/Grand Trunk,South Side,2016-12-15,Administrative Costs ,2011,Committed,-3500,2317981,T- 25
1056,Howard/Paulina,North Side,2011-10-14,FY Beginning Cash Balance ,2009,Appropriated,3182159,3182159,T- 26
1057,Howard/Paulina,North Side,2011-10-14,"Streetscape: Howard St  -- phase I, GO reimbursement ",2009,Appropriated,-493769,2688390,T- 26
1058,Howard/Paulina,North Side,2011-10-14,Gale Community Center Park  -- GO Reimbursement ,2009,Appropriated,-2156231,532159,T- 26
1059,Howard/Paulina,North Side,2011-10-14,Estimated Incremental Property Tax Revenue ,2010,Committed,1673759,2205917,T- 26
1060,Howard/Paulina,North Side,2011-10-14,Administrative Costs ,2010,Committed,-41088,2164829,T- 26
1061,Howard/Paulina,North Side,2011-10-14,Gale School Campus Park Community Building ,2010,Committed,-800000,1364829,T- 26
1062,Howard/Paulina,North Side,2011-10-14,"Streetscape: Howard St  -- phase II, CTA station to Ashland; construction ",2010,Committed,-1600000,-235171,T- 26
1063,Howard/Paulina,North Side,2011-10-14,Estimated Incremental Property Tax Revenue ,2011,Committed,1673759,1438588,T- 26
1064,Howard/Paulina,North Side,2011-10-14,Administrative Costs ,2011,Committed,-41088,1397500,T- 26
1065,Humboldt Park,Northwest Side,2025-12-31,FY Beginning Cash Balance ,2009,Appropriated,3593594,3593594,T-108
1066,Humboldt Park,Northwest Side,2025-12-31,LaEstancia RDA 2009 Payment ,2009,Appropriated,-201371,3392223,T-108
1067,Humboldt Park,Northwest Side,2025-12-31,Payoff of Outstanding Bank Note Balance ,2009,Committed,-573355,2818868,T-108
1068,Humboldt Park,Northwest Side,2025-12-31,New Life Foundation ,2009,Pending,-204000,2614868,T-108
1069,Humboldt Park,Northwest Side,2025-12-31,Broadband Initiative ,2009,Pending,-1040749,1574120,T-108
1070,Humboldt Park,Northwest Side,2025-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,2279464,3853584,T-108
1071,Humboldt Park,Northwest Side,2025-12-31,Administrative Costs ,2010,Committed,-38900,3814684,T-108
1072,Humboldt Park,Northwest Side,2025-12-31,TIF Works ,2010,Committed,-100000,3714684,T-108
1073,Humboldt Park,Northwest Side,2025-12-31,North & Talman Residential Dev. RDA payment 2010 ,2010,Committed,-351588,3363096,T-108
1074,Humboldt Park,Northwest Side,2025-12-31,SBIF: 1M authorized less current release amt = 500k remaining ,2010,Committed,-500000,2863096,T-108
1075,Humboldt Park,Northwest Side,2025-12-31,New Life Foundation ,2010,Pending,-204000,2659096,T-108
1076,Humboldt Park,Northwest Side,2025-12-31,"Neigh. Impr. Prgm. (1M auth., 500k remaining) ",2010,Pending,-500000,2159096,T-108
1077,Humboldt Park,Northwest Side,2025-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,2279464,4438559,T-108
1078,Humboldt Park,Northwest Side,2025-12-31,2425 W. North Ave Acquisition reimburse from Open Space Impact Fees ,2011,Committed,250000,4688559,T-108
1079,Humboldt Park,Northwest Side,2025-12-31,Administrative Costs ,2011,Committed,-38900,4649659,T-108
1080,Humboldt Park,Northwest Side,2025-12-31,North & Talman Residential Dev. RDA payment 2011 ,2011,Committed,-351588,4298071,T-108
1081,Humboldt Park,Northwest Side,2025-12-31,New Life Foundation ,2011,Pending,-204000,4094071,T-108
1082,Irving/Cicero,Northwest Side,2020-12-31,FY Beginning Cash Balance ,2009,Appropriated,448882,448882,T- 27
1083,Irving/Cicero,Northwest Side,2020-12-31,Pre-acquisition account increase ,2009,Appropriated,-50000,398882,T- 27
1084,Irving/Cicero,Northwest Side,2020-12-31,Klee Building RDA Certificate of Completion payment ,2009,Committed,-506093,-107211,T- 27
1085,Irving/Cicero,Northwest Side,2020-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,580701,473490,T- 27
1086,Irving/Cicero,Northwest Side,2020-12-31,Administrative Costs ,2010,Committed,-12365,461125,T- 27
1087,Irving/Cicero,Northwest Side,2020-12-31,Klee RDA note payment  -- est ,2010,Committed,-79000,382125,T- 27
1088,Irving/Cicero,Northwest Side,2020-12-31,Series 1998 Bond Debt Service 2010  -- last payment due in 2014 ,2010,Committed,-530900,-148775,T- 27
1089,Irving/Cicero,Northwest Side,2020-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,580701,431927,T- 27
1090,Irving/Cicero,Northwest Side,2020-12-31,Administrative Costs ,2011,Committed,-12365,419562,T- 27
1091,Irving/Cicero,Northwest Side,2020-12-31,Klee RDA note payment  -- est ,2011,Committed,-85200,334362,T- 27
1092,Irving/Cicero,Northwest Side,2020-12-31,Series 1998 Bond Debt Service 2011 -- last payment due in 2014 ,2011,Committed,-598350,-263988,T- 27
1093,Jefferson/Roosevelt,Central,2024-12-31,FY Beginning Cash Balance ,2009,Appropriated,5108839,5108839,T-101
1094,Jefferson/Roosevelt,Central,2024-12-31,Central Business District Underground Mapping Intiative Phase 3 ,2009,Appropriated,-173546,4935293,T-101
1095,Jefferson/Roosevelt,Central,2024-12-31,Maxwell Street Market - Appraisals ,2009,Committed,-25000,4910293,T-101
1096,Jefferson/Roosevelt,Central,2024-12-31,Maxwell St. Market: add'l ,2009,Committed,-120000,4790293,T-101
1097,Jefferson/Roosevelt,Central,2024-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,3502062,8292354,T-101
1098,Jefferson/Roosevelt,Central,2024-12-31,Administrative Costs ,2010,Committed,-32000,8260354,T-101
1099,Jefferson/Roosevelt,Central,2024-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,3502062,11762416,T-101
1100,Jefferson/Roosevelt,Central,2024-12-31,Administrative Costs ,2011,Committed,-32000,11730416,T-101
1101,Jefferson/Roosevelt,Central,2024-12-31,FY Beginning Cash Balance ,2009,Appropriated,1528162,1528162,T-101
1102,Jefferson/Roosevelt,Central,2024-12-31,Demo reimbursement  -- 4935 N Central ,2009,Appropriated,-9000,1519162,T-101
1103,Jefferson/Roosevelt,Central,2024-12-31,"Match to Federal Funds: Milwaukee, Montrose to Gale ",2009,Appropriated,-300000,1219162,T-101
1104,Jefferson/Roosevelt,Central,2024-12-31,Env. Remediation phase II pocket park ,2009,Committed,-50000,1169162,T-101
1105,Jefferson/Roosevelt,Central,2024-12-31,Jefferson Park playground ,2009,Committed,-500000,669162,T-101
1106,Jefferson/Roosevelt,Central,2024-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,868000,1537162,T-101
1107,Jefferson/Roosevelt,Central,2024-12-31,Administrative Costs ,2010,Committed,-15600,1521562,T-101
1108,Jefferson/Roosevelt,Central,2024-12-31,Gateway Sign ,2010,Pending,-100000,1421562,T-101
1109,Jefferson/Roosevelt,Central,2024-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,868000,2289562,T-101
1110,Jefferson/Roosevelt,Central,2024-12-31,Administrative Costs ,2011,Committed,-15600,2273962,T-101
1111,Kimball/Kennedy,Northwest Side,2032-12-31,FY Beginning Cash Balance ,2009,Appropriated,0,0,T-160
1112,Kimball/Kennedy,Northwest Side,2032-12-31,Adminstration ,2009,Committed,0,0,T-160
1113,Kimball/Kennedy,Northwest Side,2032-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,0,0,T-160
1114,Kimball/Kennedy,Northwest Side,2032-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,0,0,T-160
1115,Kinzie Industrial Corridor,Northwest Side,2021-06-10,FY Beginning Cash Balance ,2009,Appropriated,36259279,36259279,T- 52
1116,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Central Business District Underground Mapping Intiative Phase 3 ,2009,Appropriated,-14515,36244763,T- 52
1117,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Demolition account increase ,2009,Appropriated,-30734,36214029,T- 52
1118,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Pre-acquisition account increase ,2009,Appropriated,-35000,36179029,T- 52
1119,Kinzie Industrial Corridor,Northwest Side,2021-06-10,"Street reconstruction: Kinzie St, Ogden to DesPlaines - Design  -- add'l ",2009,Appropriated,-72345,36106684,T- 52
1120,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Harold Washington Unity Coop  -- DOH payment ,2009,Appropriated,-88128,36018556,T- 52
1121,Kinzie Industrial Corridor,Northwest Side,2021-06-10,MOWD 2009 Budget ,2009,Appropriated,-190000,35828556,T- 52
1122,Kinzie Industrial Corridor,Northwest Side,2021-06-10,"Railroad Crossing Removal  -- May, Morgan, Racine ",2009,Appropriated,-220680,35607876,T- 52
1123,Kinzie Industrial Corridor,Northwest Side,2021-06-10,TIF Works 2009 ,2009,Appropriated,-300000,35307876,T- 52
1124,Kinzie Industrial Corridor,Northwest Side,2021-06-10,2009 Industrial Street Improvements ,2009,Appropriated,-587000,34720876,T- 52
1125,Kinzie Industrial Corridor,Northwest Side,2021-06-10,27th Ward Infrastructure: Green Alley program ,2009,Appropriated,-733900,33986976,T- 52
1126,Kinzie Industrial Corridor,Northwest Side,2021-06-10,SBIF ,2009,Appropriated,-1000000,32986976,T- 52
1127,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Coyne American Inst. RDA payment ,2009,Appropriated,-1192647,31794329,T- 52
1128,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Greater Westtown RDA  -- 1 of 3 ,2009,Appropriated,-1314982,30479347,T- 52
1129,Kinzie Industrial Corridor,Northwest Side,2021-06-10,CTA Green Line Station @ Morgan  -- construction ,2009,Appropriated,-27800000,2679347,T- 52
1130,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Curb and Sidewalk ,2009,Committed,-123331,2556016,T- 52
1131,Kinzie Industrial Corridor,Northwest Side,2021-06-10,"Lake/Halsted to Kedzie Streetscaping, Phase I-Engineering Only ",2009,Committed,-500000,2056016,T- 52
1132,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Smith Park ,2009,Committed,-512000,1544016,T- 52
1133,Kinzie Industrial Corridor,Northwest Side,2021-06-10,"Parking and Streetscape Phase I, Lake - Halsted - Kedzie ",2009,Committed,-1000000,544016,T- 52
1134,Kinzie Industrial Corridor,Northwest Side,2021-06-10,"CPS ADA projects  -- Beidler, Morton ",2009,Committed,-1500000,-955984,T- 52
1135,Kinzie Industrial Corridor,Northwest Side,2021-06-10,27th Ward Infrastructure: multiple locations  -- 2009 ,2009,Committed,-2249257,-3205240,T- 52
1136,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Streetscaping 2nd ward locations TBD ,2009,Pending,-117000,-3322240,T- 52
1137,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Broadband Initiative ,2009,Pending,-397151,-3719391,T- 52
1138,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Estimated Incremental Property Tax Revenue ,2010,Committed,14498548,10779157,T- 52
1139,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Administrative Costs ,2010,Committed,-251200,10527957,T- 52
1140,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Coyne Inst. RDA payment  -- est ,2010,Committed,-500000,10027957,T- 52
1141,Kinzie Industrial Corridor,Northwest Side,2021-06-10,SBIF ,2010,Committed,-1000000,9027957,T- 52
1142,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Greater Westtown RDA  -- 2 of 3 ,2010,Committed,-1050000,7977957,T- 52
1143,Kinzie Industrial Corridor,Northwest Side,2021-06-10,MSAC Ph.1 DS 2010 - Westinghouse  -- Chicago / Central park ,2010,Committed,-3058845,4919112,T- 52
1144,Kinzie Industrial Corridor,Northwest Side,2021-06-10,"Parking and Streetscape Phase II, Lake - Halsted - Kedzie ",2010,Committed,-3500000,1419112,T- 52
1145,Kinzie Industrial Corridor,Northwest Side,2021-06-10,27th Ward Infrastructure: multiple locations  -- 2010 ,2010,Committed,-5459000,-4039888,T- 52
1146,Kinzie Industrial Corridor,Northwest Side,2021-06-10,CB2 Note 2 payment ,2010,Pending,-150000,-4189888,T- 52
1147,Kinzie Industrial Corridor,Northwest Side,2021-06-10,CB2 Note 1 payment ,2010,Pending,-250000,-4439888,T- 52
1148,Kinzie Industrial Corridor,Northwest Side,2021-06-10,TIF Works ,2010,Pending,-300000,-4739888,T- 52
1149,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Estimated Incremental Property Tax Revenue ,2011,Committed,14498548,9758660,T- 52
1150,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Administrative Costs ,2011,Committed,-251200,9507460,T- 52
1151,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Coyne Inst. RDA payment  -- est ,2011,Committed,-500000,9007460,T- 52
1152,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Beidler campus park ,2011,Committed,-1000000,8007460,T- 52
1153,Kinzie Industrial Corridor,Northwest Side,2021-06-10,Greater Westtown RDA  -- 3 of 3 ,2011,Committed,-1050000,6957460,T- 52
1154,Kinzie Industrial Corridor,Northwest Side,2021-06-10,MSAC Ph.1 DS 2011 - Westinghouse  -- Chicago / Central park ,2011,Committed,-2974054,3983406,T- 52
1155,Kinzie Industrial Corridor,Northwest Side,2021-06-10,PBC - Library  -- West Humboldt Park - construction  -- 1 of 2 ,2011,Committed,-5000000,-1016594,T- 52
1156,Kinzie Industrial Corridor,Northwest Side,2021-06-10,27th Ward Infrastructure: multiple locations  -- 2011 ,2011,Committed,-5463700,-6480294,T- 52
1157,Kinzie Industrial Corridor,Northwest Side,2021-06-10,CB2 Note 2 payment ,2011,Pending,-150000,-6630294,T- 52
1158,Kinzie Industrial Corridor,Northwest Side,2021-06-10,CB2 Note 1 payment ,2011,Pending,-250000,-6880294,T- 52
1159,Lake Calumet Ind. Cord.,South Side,2024-12-31,FY Beginning Cash Balance ,2009,Appropriated,11097606,11097606,T-103
1160,Lake Calumet Ind. Cord.,South Side,2024-12-31,Pre-acquisition account increase ,2009,Appropriated,-25000,11072606,T-103
1161,Lake Calumet Ind. Cord.,South Side,2024-12-31,Avenue O Phase 1  -- add'l ,2009,Appropriated,-1171712,9900894,T-103
1162,Lake Calumet Ind. Cord.,South Side,2024-12-31,Avenue O Phase II: 118th to 123rd ,2009,Appropriated,-3168306,6732588,T-103
1163,Lake Calumet Ind. Cord.,South Side,2024-12-31,Bridge work @ Torrence Ave. & Calumet River ,2009,Appropriated,-4000000,2732588,T-103
1164,Lake Calumet Ind. Cord.,South Side,2024-12-31,111th Doty - Study: Reconfigure traffic for retail/residential ,2009,Committed,-820000,1912588,T-103
1165,Lake Calumet Ind. Cord.,South Side,2024-12-31,Torrence Ave. sidwalk bike path improvements ,2009,Committed,-1000000,912588,T-103
1166,Lake Calumet Ind. Cord.,South Side,2024-12-31,Broadband Initiative ,2009,Pending,-269966,642622,T-103
1167,Lake Calumet Ind. Cord.,South Side,2024-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,5766577,6409199,T-103
1168,Lake Calumet Ind. Cord.,South Side,2024-12-31,Administrative Costs ,2010,Committed,-87400,6321799,T-103
1169,Lake Calumet Ind. Cord.,South Side,2024-12-31,Brainard Ave. Resurfacing; 2734 East to State Line ,2010,Pending,-2000000,4321799,T-103
1170,Lake Calumet Ind. Cord.,South Side,2024-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,5766577,10088376,T-103
1171,Lake Calumet Ind. Cord.,South Side,2024-12-31,Administrative Costs ,2011,Committed,-87400,10000976,T-103
1172,Lakefront,South Side,2026-12-31,FY Beginning Cash Balance ,2009,Appropriated,294845,294845,T-119
1173,Lakefront,South Side,2026-12-31,Lake Park Crescent II ,2009,Appropriated,-51620,243225,T-119
1174,Lakefront,South Side,2026-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,90475,333699,T-119
1175,Lakefront,South Side,2026-12-31,Lake Park Crescent II ,2010,Committed,0,333699,T-119
1176,Lakefront,South Side,2026-12-31,Administrative Costs ,2010,Committed,-6900,326799,T-119
1177,Lakefront,South Side,2026-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,90475,417274,T-119
1178,Lakefront,South Side,2026-12-31,Lake Park Crescent II ,2011,Committed,0,417274,T-119
1179,Lakefront,South Side,2026-12-31,Administrative Costs ,2011,Committed,-6900,410374,T-119
1180,Lakeside/Clarendon,North Side,2028-12-31,FY Beginning Cash Balance ,2009,Appropriated,87186,87186,T-137
1181,Lakeside/Clarendon,North Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,56531,143717,T-137
1182,Lakeside/Clarendon,North Side,2028-12-31,Administrative Costs ,2010,Committed,-1750,141967,T-137
1183,Lakeside/Clarendon,North Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,56531,198498,T-137
1184,Lakeside/Clarendon,North Side,2028-12-31,Administrative Costs ,2011,Committed,-1750,196748,T-137
1185,LaSalle Central,Central,2030-12-31,FY Beginning Cash Balance ,2009,Appropriated,27283723,27283723,T-147
1186,LaSalle Central,Central,2030-12-31,Professional Services Account Increase ,2009,Appropriated,-50000,27233723,T-147
1187,LaSalle Central,Central,2030-12-31,Central Business District Underground Mapping Intiative Phase 3 ,2009,Appropriated,-51980,27181744,T-147
1188,LaSalle Central,Central,2030-12-31,"Viaduct reconstruction: Wacker, Adams to Congress ",2009,Appropriated,-213000,26968744,T-147
1189,LaSalle Central,Central,2030-12-31,Ziegler HQ relocation RDA  -- 2 of 10 ,2009,Appropriated,-214600,26754144,T-147
1190,LaSalle Central,Central,2030-12-31,"Viaduct reconstruction: Wacker, Randolph to Adams ",2009,Appropriated,-260000,26494144,T-147
1191,LaSalle Central,Central,2030-12-31,Median & Sidewalks: Wacker Drive  -- eng. ,2009,Appropriated,-300000,26194144,T-147
1192,LaSalle Central,Central,2030-12-31,Sidewalk ramp repair ,2009,Appropriated,-400000,25794144,T-147
1193,LaSalle Central,Central,2030-12-31,Sidewalks and ramps  -- ADA: Wacker Drive ,2009,Appropriated,-500000,25294144,T-147
1194,LaSalle Central,Central,2030-12-31,Sidewalks and ramps  -- ADA: Wacker Drive ,2009,Appropriated,-2150000,23144144,T-147
1195,LaSalle Central,Central,2030-12-31,"Wacker Drive Reconstruction, Randolph to VanBuren ",2009,Appropriated,-3000000,20144144,T-147
1196,LaSalle Central,Central,2030-12-31,Audible Pedestrian Signals ,2009,Committed,-8000,20136144,T-147
1197,LaSalle Central,Central,2030-12-31,Lyric Opera ,2009,Committed,-500000,19636144,T-147
1198,LaSalle Central,Central,2030-12-31,Willis Group RDA ,2009,Committed,-1000000,18636144,T-147
1199,LaSalle Central,Central,2030-12-31,MillerCoors RDA completion payment  -- 1 of 6 ,2009,Committed,-1000000,17636144,T-147
1200,LaSalle Central,Central,2030-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,18000000,35636144,T-147
1201,LaSalle Central,Central,2030-12-31,Ziegler HQ relocation RDA  -- 3 of 10 ,2010,Committed,-241600,35394544,T-147
1202,LaSalle Central,Central,2030-12-31,Administrative Costs ,2010,Committed,-340000,35054544,T-147
1203,LaSalle Central,Central,2030-12-31,Willis Group RDA ,2010,Committed,-825000,34229544,T-147
1204,LaSalle Central,Central,2030-12-31,MillerCoors RDA annual payment  -- 2 of 6 ,2010,Committed,-955000,33274544,T-147
1205,LaSalle Central,Central,2030-12-31,NAVTEQ RDA payment  -- 1 of 5 ,2010,Committed,-1500000,31774544,T-147
1206,LaSalle Central,Central,2030-12-31,UAL Ops HQ Phase 1 Completion Payment ,2010,Committed,-3000000,28774544,T-147
1207,LaSalle Central,Central,2030-12-31,Potential Redevelopment Project ,2010,Pending,-2000000,26774544,T-147
1208,LaSalle Central,Central,2030-12-31,Potential Redevelopment Project ,2010,Pending,-3500000,23274544,T-147
1209,LaSalle Central,Central,2030-12-31,Potential Redevelopment Project ,2010,Pending,-15000000,8274544,T-147
1210,LaSalle Central,Central,2030-12-31,Potential Redevelopment Project ,2010,Pending,-20000000,-11725456,T-147
1211,LaSalle Central,Central,2030-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,18000000,6274544,T-147
1212,LaSalle Central,Central,2030-12-31,Ziegler HQ relocation RDA  -- 4 of 10 ,2011,Committed,-241600,6032944,T-147
1213,LaSalle Central,Central,2030-12-31,Administrative Costs ,2011,Committed,-340000,5692944,T-147
1214,LaSalle Central,Central,2030-12-31,Willis Group RDA ,2011,Committed,-825000,4867944,T-147
1215,LaSalle Central,Central,2030-12-31,MillerCoors RDA annual payment  -- 3 of 6 ,2011,Committed,-955000,3912944,T-147
1216,LaSalle Central,Central,2030-12-31,UAL Ops HQ RDA Job Training ,2011,Committed,-1500000,2412944,T-147
1217,LaSalle Central,Central,2030-12-31,NAVTEQ RDA payment  -- 2 of 5 ,2011,Committed,-1500000,912944,T-147
1218,LaSalle Central,Central,2030-12-31,UAL Ops HQ Phase 2 Completion Payment ,2011,Committed,-3000000,-2087056,T-147
1219,LaSalle Central,Central,2030-12-31,UAL Ops HQ RDA annual payment  -- 1 of 8 ,2011,Committed,-3200091,-5287147,T-147
1220,LaSalle Central,Central,2030-12-31,Potential Redevelopment Project ,2011,Pending,-1300000,-6587147,T-147
1221,LaSalle Central,Central,2030-12-31,Potential Redevelopment Project ,2011,Pending,-13000000,-19587147,T-147
1222,Lawrence/Broadway,North Side,2025-12-31,FY Beginning Cash Balance ,2009,Appropriated,4398199,4398199,T-109
